goal_id,match_id,player_id,team_id,minute,is_penalty,is_own_goal
1,1,30,3,63,0,0
2,2,2,2,37,0,0
3,2,510,8,85,0,0
4,3,66,6,26,0,0
5,3,65,6,45,1,0
6,3,510,8,55,0,0
7,3,505,8,90,0,0
8,4,52,5,18,0,0
9,4,55,5,35,0,0
10,4,54,5,78,0,0
11,4,42,4,90,0,0
12,5,4,1,6,0,0
13,5,2,1,22,0,0
14,5,3,1,29,0,0
15,5,41,4,71,0,0
16,5,2,1,90,1,0
17,6,16,16,81,0,0
18,6,99,9,40,0,0
19,7,11,11,7,0,0
20,7,20,11,72,0,0
21,7,15,15,90,0,0
22,8,110,10,22,0,0
23,8,14,14,54,0,1
24,9,209,17,83,0,0
25,10,216,18,15,0,0
26,10,218,18,26,0,0
27,10,220,18,33,0,0
28,10,23,23,45,0,0
29,10,23,23,53,0,0
30,10,23,23,64,0,0
31,11,29,29,27,0,0
32,11,17,29,38,0,0
33,11,17,29,67,1,0
34,11,17,29,71,0,0
35,12,306,25,56,0,0
36,13,408,33,7,0,0
37,13,410,33,28,0,0
38,13,419,34,34,0,0
39,13,419,34,55,1,0
40,13,406,33,90,0,0
41,14,35,35,31,0,0
42,14,36,36,65,0,0
43,15,53,5,20,0,0
44,15,4,1,59,0,0
45,15,6,1,88,0,1
46,16,5,5,90,0,0
47,17,29,3,8,0,0
48,17,25,3,18,0,0
49,17,27,3,51,0,0
50,17,30,3,75,0,0
51,17,64,6,42,0,0
52,17,65,6,45,0,0
53,17,63,6,54,0,0
54,17,66,6,66,0,0
55,18,11,11,21,0,0
56,18,11,11,53,0,0
57,18,108,10,68,0,0
58,19,97,9,45,0,0
59,19,108,10,63,0,0
60,19,108,10,90,0,0
61,20,207,17,29,0,0
62,20,210,17,38,0,0
63,20,210,17,45,1,0
64,20,210,17,66,0,0
65,21,21,21,17,0,0
66,21,21,21,57,0,0
67,21,205,17,70,0,0
68,21,208,17,84,0,0
69,22,306,25,38,0,0
70,22,29,29,55,0,0
71,23,320,26,42,0,0
72,23,17,29,81,0,0
73,24,408,33,11,0,0
74,24,416,34,69,0,0
75,25,408,33,25,0,0
76,25,407,33,58,0,0
77,25,35,35,90,1,0
78,26,25,3,52,0,0
79,27,208,17,32,0,0
80,28,97,9,28,0,0
81,28,201,17,61,0,0
82,28,207,17,90,0,0
83,29,63,6,48,0,0
84,30,17,29,12,0,0
85,30,17,29,81,0,0
86,31,207,17,8,0,0
87,31,210,17,17,0,0
88,31,210,17,30,0,0
89,31,208,17,49,0,0
90,31,1,1,90,0,0
91,32,7,7,22,0,0
92,32,7,7,60,0,0
93,33,97,9,23,0,0
94,33,19,19,70,0,0
95,34,110,10,10,0,0
96,34,108,10,28,0,0
97,34,108,10,45,1,0
98,34,111,10,61,0,0
99,34,28,28,78,0,0
100,34,28,28,88,0,0
101,35,25,3,47,0,0
102,35,27,3,62,0,0
103,35,19,19,80,0,0
104,35,19,19,90,0,0
105,36,43,5,55,0,0
106,36,44,5,62,0,0
107,36,22,4,75,0,0
108,36,39,4,84,0,0
109,37,88,8,10,0,0
110,37,75,8,25,0,0
111,37,74,8,37,0,0
112,37,56,6,45,0,0
113,38,88,8,50,0,0
114,38,75,8,63,0,0
115,39,30,3,18,0,0
116,39,17,3,21,0,0
117,40,50,6,34,0,0
118,40,54,6,56,0,0
119,40,60,6,71,0,0
120,41,43,5,80,0,0
121,42,72,9,10,0,0
122,42,73,9,30,0,0
123,42,44,4,39,0,0
124,43,37,3,47,0,0
125,43,40,3,53,0,0
126,43,52,4,63,0,0
127,44,12,1,70,0,0
128,44,3,1,75,0,0
129,44,5,1,85,0,0
130,45,20,17,30,0,0
131,45,21,17,40,0,0
132,45,10,17,45,0,0
133,46,5,5,56,0,0
134,46,9,5,60,0,0
135,46,3,5,65,0,0
136,47,27,3,90,0,0
137,47,26,3,56,0,0
138,47,27,3,68,0,0
